"Timestamp","What is your gender? ","What is your major/field of study? ","  What is your current year of study?  ","Are you a full-time student?","How often do you feel stressed because of your academic workload?","On average, how many hours per day do you spend on leisure activities?","Which leisure activity do you spend the most time on? ","How often do leisure activities interfere with your study time? ","Do you think you manage your time effectively between studying and leisure? ","Which area takes more of your daily time? ","How satisfied are you with your current balance between studying and leisure? ","Do you believe better time management would improve your academic performance? ","Would you like to improve the balance between your study time and leisure time? "
"2026/04/05 5:26:21 PM GMT+2","Male","Computer Science","Second year","Yes","Often","3–4 hours","Social media","Always","No","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 5:27:02 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","1–2 hours","Hanging out with friends","Maybe","Yes","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 5:29:32 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","3–4 hours","Reading for pleasure","Always","No","Leisure activities","Satisfied","Yes","No"
"2026/04/05 5:30:35 PM GMT+2","Female","Computer Science","Second year","No","Often","3–4 hours","Watching TV / movies","Often","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/05 5:31:52 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","3–4 hours","Sports / exercise","Often","Yes","Both equally","Satisfied","Yes","Yes"
"2026/04/05 5:32:25 PM GMT+2","Male","Engineering","Second year","Yes","Often","3–4 hours","Hanging out with friends","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:33:07 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","More than 6 hours","Gaming","Often","No","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 5:33:07 PM GMT+2","Male","Computer Science","Second year","Yes","Always","1–2 hours","Sports / exercise","Often","No","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 5:34:08 PM GMT+2","Male","Business","First year","Yes","Always","3–4 hours","Social media;Watching TV / movies;Gaming","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:34:32 PM GMT+2","Female","Business","Second year","Yes","Sometimes","3–4 hours","Social media;Watching TV / movies","Always","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:36:14 PM GMT+2","Male","Computer Science","Second year","Yes","Often","5–6 hours","Social media;Gaming;Sports / exercise","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:36:45 PM GMT+2","Male","Computer Science","Second year","Yes","Often","3–4 hours","Hanging out with friends","Maybe","No","Studying","Dissatisfied","Yes","Yes"
"2026/04/05 5:38:32 PM GMT+2","Male","Engineering","First year","Yes","Always","1–2 hours","Social media;Gaming;Hanging out with friends","Maybe","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:38:53 PM GMT+2","Male","Business","Fourth year","Yes","Often","3–4 hours","Social media;Watching TV / movies;Gaming;Sports / exercise;Hanging out with friends","Often","No","Studying","Dissatisfied","Yes","Yes"
"2026/04/05 5:40:30 PM GMT+2","Male","Business","First year","Yes","Sometimes","3–4 hours","Social media;Hanging out with friends","Maybe","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/05 5:42:24 PM GMT+2","Male","BIS","Fifth year or above","No","Often","3–4 hours","Social media;Gaming;Hanging out with friends;Reading for pleasure","Maybe","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 5:42:42 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","1–2 hours","Gaming;Sports / exercise","Maybe","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/05 5:43:05 PM GMT+2","Male","Engineering","Second year","Yes","Always","1–2 hours","Social media;Gaming;Hanging out with friends","Often","No","Leisure activities","Very dissatisfied","Yes","Yes"
